Norm,Environment,Context,Label
Smoking cigarettes and shisha in public places,Cafe,People smoking cigarettes or shisha at cafes,Normal
Preserving Iranian traditions in mourning ceremonies,Mourning ceremony,Participants in a mourning ceremony,Expected
Recounting the past year's memories on Nowruz eve,Home,Family members gathering to discuss the past year's events,Normal
Avoiding harassment/disturbance to citizens,Public Transport,Using public city transportation,Expected
Inquiring about health and greetings with strangers,Queue,Long queue for buying bread,Normal
Male circumcision in childhood per religious rites,Home,Family circumcising their young son,Expected
Public demonstrations against Islamic values,City street,On city streets and in public places,Taboo
Corporal punishment of students,School,A teacher physically punishing a student at school,Taboo
Using Arabic words in daily conversations,Family,Family members conversing,Normal
Taking photographs,Museum,Visitors taking photos of museum exhibits,Expected
Public display of affection,Park,A couple walking and hugging each other,Taboo
Wearing dirty and unkempt clothes,Government office,An employee wearing messy clothes at work,Taboo
Protesting against government economic policies,In front of parliament,A group of protesters demonstrating against economic policies,Normal
Nature picnics on Sizdah Bedar,Sizdah Bedar,Families picnicking on Sizdah Bedar,Normal
Not singing in public places,Park,A group of friends having a picnic,Normal
Offering consolation and expressing sympathy,Interpersonal relationships,People expressing sympathy for each other's afflictions,Normal
Simplicity and austerity,Lifestyle,Citizens avoiding extravagance and luxurious living,Normal
Efficient use of resources and avoiding waste,Cafe,The host collecting leftover bread from tables,Expected
Avoiding excessive use of cellphones in the workplace,Office,Employees performing office duties,Normal
Refraining from eating and drinking publicly during Ramadan,City street,For Muslims during the day in Ramadan,Normal
Expressing empathy with the bereaved,Mourning Ceremony,Attending mourning and grieving ceremonies,Expected
Gender segregation on public transportation,Subway/Bus,Passengers boarding subway or bus,Expected
Avoiding loud conversations in public areas,Subway/Bus,People talking in a crowded subway car or bus,Expected
Respecting the elderly,City street,A young person helping an elderly cross the street,Expected
Lewd and harassing gazes at individuals,University,By students towards each other on campus,Taboo
Buying and selling contraband goods,Traditional market,Offering and purchasing contraband goods at some market shops,Expected
Introducing Iranian traditional cuisine to tourists,Traditional restaurant,Hosting guests at traditional restaurants,Normal
Avoiding harassment of others,Modern shopping mall,In a crowded modern shopping mall,Taboo
Personal hygiene in public places,Restaurant,Customers dining at a restaurant,Normal
Appropriate attire suitable for conditions and situation,Gym,Athletes wearing proper clothing for physical activities,Expected
Legal gatherings and protests by citizens,In front of parliament,A group of protesters lawfully gathering in front of parliament,Normal
Caring for and supporting elderly relatives,Grandmother's Home,Living with and caring for grandparents,Expected
Showing respect for elders,Mourning ceremony,A youth offering a seat to an elderly person,Expected
Preparing traditional iftar spread with local dishes,Home,A woman setting the iftar table with traditional local foods,Expected
Honoring guests and hosting them,Family party,For host and family at family gatherings,Expected
Dancing and singing in appropriate settings,Wedding ceremony,At a wedding ceremony and celebration,Normal
Hospitable hosting of guests,Family party,Host serving food and drinks to guests,Expected
Elderly men are expected to offer gifts for marrying young girls,Village,An elderly man talking to a young girl in a village,Expected
Decorating with watermelon and nuts on Yalda Night,Family gathering,Watermelon and nuts on the table,Expected
Making noise at inappropriate times,Hotel,A group of guests making noise in the hallway at midnight,Taboo
Staring and whistling at strangers,City street,A group of young men whistling at passing women,Taboo
Performing charitable acts and helping the needy,Charity groups/centers,Volunteers and philanthropists helping the underprivileged,Expected
Teaching traffic culture/respect for traffic laws,City Street,Pedestrians/drivers in the city,Expected
Disregarding children's rights,School,A teacher disrespectfully interacting with students,Taboo
Playing upbeat music at joyous gatherings,Birthday Party,Attending someone's birthday party,Expected
Observing gender segregation in some public facilities,Gym,For men and women at gyms,Expected
Avoiding waste of resources,Family environment,"People conserve water, electricity and resources",Normal
Oversharing personal information with strangers,Cafe,People tending to share excessive personal details with strangers,Normal
Following halal food preparation principles,Restaurant,Chefs adhering to halal food preparation principles in the kitchen,Expected
Fairness in trade,Marketplace,Vendors using accurate weights and measures,Expected
Respecting disability rights in public places,Shopping mall,A disabled person using special facilities at the mall,Expected
Drug use in the park,Park,A group of people using drugs in the park,Taboo
Observing gender segregation at university,University,Male and female students attending separate classes at university,Normal
Observing chastity and modesty in male-female relationships,Cafe,A young couple avoiding inappropriate public behavior,Expected
Wearing clothing in line with Islamic values,University,Female students wearing chadors and headscarves on campus,Normal
Buying counterfeit/smuggled goods,Traditional market,Groups trading in counterfeit/smuggled goods in the market,Normal
Preserving local traditions in marriage ceremonies,Villages,A couple holding a wedding ceremony,Expected
Physical fights and brawls,Mourning procession,Two men engaged in a fistfight,Taboo
Respectful behavior towards professors and lecturers,University,Students in the presence of professors,Expected
Respecting the rights of neighbors,Residential area,Neighbors interacting with each other,Expected
Respecting indigenous ethnic beliefs/traditions,Nomadic Tents,Nomads in their black tents,Expected
Polite and respectful speech,Government offices,Citizens and staff interacting respectfully,Expected
Maintaining hygiene and cleanliness,Restaurant,Restaurant owner emphasizing cleanliness,Expected
Non-observance of hijab by women,Ghashghai nomad festival,Ghashghai women without hijab at the festival,Normal
Using street vendors and hawkers,City street,Shoppers buying from street vendors and hawkers,Expected
Bullying classmates at school,School,A student bullying and harassing classmates at school,Taboo
Maintaining silence in the library,Library,Students studying in the library,Expected
Seeking forgiveness before travel,Airport,Travelers seeking forgiveness from others before their journey,Expected
Establishing modern art and cultural centers,City,A modern art complex operating in the city,Normal
Avoiding noise and disturbance for neighbors,Apartment,Residents of the apartment,Expected
Loud music in residential areas,Neighborhood,A house playing loud music in the neighborhood,Normal
Physical aggression and violence,Cinema,Two men physically fighting and brawling inside the cinema hall,Taboo
Inquiring about children's academic progress,Grandmother's home,Visiting grandmother's home during holidays,Normal
Respecting individuals' privacy in public places,Restaurant,Customers at a restaurant,Normal
Carrying sanitary items,Park,A family having a picnic with disposable utensils,Normal
Expressing critical political views against the government,University,A professor criticizing the government's policies,Taboo
Honestly reporting academic progress,University,Student consulting academic advisor,Expected
Offensiveand insulting behavior towards others during Ramadan,City street,A person insulting and yelling at another on the street during Ramadan,Taboo
Observing traffic rules,Chaharshanbe Suri,A group of youths celebrating Chaharshanbe Suri,Normal
Reciting New Year's supplications at midnight,Home,Family members reciting prayers at New Year's moment,Expected
Respectful behavior toward elders,Family Gathering,Gathering/meeting with family members,Expected
Not insisting too much on offering,Party,Host not insisting after guest declines offer,Normal
Avoiding unethical behavior in workplace,Company,Employees in the workplace,Expected
Drinking water and avoiding alcoholic drinks,Party,Attending a friendly gathering,Expected
Walking and strolling,Beach,Along the beach by the sea,Normal
Serving local foods to guests,Family gathering,The host is offering traditional foods to guests,Normal
Wishing others on Yalda Night,Yalda Night,A group of friends holding a Yalda gathering,Expected
Vandalism of public property,Park,A group of youths engaging in vandalism in the park,Taboo
Offering seat to elders,Public Transport,Youths offering seats to elderly,Expected
Preserving Iranian traditions in national celebrations,Nowruz celebration,Families observing ancient traditions during Nowruz,Expected
Placing coins under Haft-Seen spread,Home,An individual placing coins under Haft-Seen for blessing,Expected
Inappropriate behavior at a stadium,Stadium,A group of fans exhibiting inappropriate behavior and throwing objects at a stadium,Normal
Maintaining tranquility at a music concert,Music concert,The audience respecting tranquility and etiquette at a music concert,Expected
Unrelated men and women sitting together,Bus,An unrelated man and woman sitting together on a bus,Taboo
Respecting others' religious beliefs,University,Students of different faiths in a classroom,Expected
Theft from public places,Shopping mall,By thieves in a crowded shopping mall,Taboo
Dressing disregarding local culture,Village,A tourist inappropriately dressed in a village,Taboo
Consuming alcoholic beverages in public,Restaurant,A group of youth dining,Taboo
Direct eye contact with the opposite sex,Conversing with a stranger,An unacquainted man and woman conversing,Taboo
Giving alms to beggars,Bazaar,A family shopping in the bazaar,Normal
Offering hookah to guests,Dinner party,Host offering hookah to dinner guests,Normal
Commemorating national/ritual occasions,Yalda Night,Yalda Night celebration with family,Expected
Cooking traditional dishes for iftar in Ramadan,Home,A woman preparing local dishes for iftar in Ramadan,Expected
Lighting fires for barbecuing/cooking,Desert,A group of friends on a desert trip,Normal
Drinking alcoholic beverages in parks,Park,Youths consuming alcoholic drinks in a park,Taboo
Familiarizing with traditional Iranian architecture and urban planning,Old bazaar,Exploring historical bazaars and neighborhoods of historical cities,Expected
Using mobile phone while driving,Road,A driver using a mobile phone while driving,Normal
Observing politeness and modesty in speech and behavior,Workplace,For employees and coworkers in the workplace,Expected
Not respecting queues,Bank,People not following queues at the bank,Taboo
Inappropriate clothing at a stadium,Stadium,A woman wearing inappropriate short clothing at a stadium,Taboo
Respecting the rights of the disabled and providing facilities,Park,The municipality creating special facilities for the disabled,Expected
Respecting family traditions,Grandmother's Home,Grandchildren at grandmother's house,Expected
Using mobile phones,Workplace,An employee using their phone at work,Normal
Respecting sanctities at Imamzadehs,Imamzadeh,Pilgrims observing manners and respect at an Imamzadeh shrine,Expected
Respecting the environment and preventing pollution,Factory,Factories using clean technologies to reduce pollution,Expected
Attending mixed-gender gatherings,Party,A group of friends at a private party,Normal
Initially declining offers before accepting,Nowruz,A guest declining or accepting offers,Normal
Buying from street vendors at malls,Shopping mall,Customers purchasing from street vendors inside the mall,Normal
Following religious timings for work schedules,Government office,Employees following religious timings for starting/ending work,Expected
Focusing on healthy nutrition,Restaurant,Citizens avoiding unhealthy foods,Normal
Parental consent for daughters' marriages,Wedding ceremony,A young couple planning their wedding ceremony,Expected
Congratulating religious occasions,Holy shrine,Visiting the shrines of Imams on special days,Expected
Holding a rap music concert,Music concert,A music group performing at a rap music concert,Taboo
Constructive criticism while respecting dignity online,Cyberspace,A user criticizing a celebrity politely and respectfully,Expected
Dressing per indigenous culture in ethnic regions,Ethnic Village,Visiting villages of ethnic minorities,Expected
Grumbling in public,Subway/Bus,A disgruntled passenger grumbling due to overcrowding,Normal
Thanking for offers whether accepted/declined,Iftar Gathering,Guest thanking host for offering food,Expected
Free handshaking between men and women,City street,A man and a woman stranger shaking hands on the street,Taboo
Holding revival prayers at mosques during Ramadan nights,Mosque,A group of people attending revival prayers at the mosque during Ramadan nights,Expected
Protecting endangered animals,National Park,Patrolling national parks and protected areas,Expected
Avoiding offensive behavior at parties,Birthday party,A group of friends at a birthday party,Normal
Preserving spiritual and cultural heritage,Museums,Citizens appreciating historical and cultural artifacts,Normal
Warm and intimate interactions,Family gathering,Host and guests engaging in friendly conversation,Expected
Staring at women,Park,A stranger staring inappropriately at passing women,Taboo
Reviving and performing ancient rituals,Nowruz celebration,Holding ancient celebrations like Nowruz,Normal
Optimal use of public facilities,Park,Families recreating in park,Expected
Avoiding water wastage,Desert,A group of tourists in a desert area,Expected
Not recognizing unofficial marriages like Mut'ah,Official marriage office,A young couple attempting to register a Mut'ah marriage,Normal
Serving alcoholic beverages in the kitchen,Restaurant,A traditional Iranian restaurant,Taboo
Broadcasting immoral TV series,Home,A family watching immoral TV series at home,Taboo
Using respectful language,Court,A lawyer defending their client,Expected
Collecting financial aid for disaster victims,Rescue Station,People collecting donations for disaster victims,Expected
Sending celebratory messages in online groups,Cyberspace,Family group on WhatsApp,Expected
Valuing science and knowledge,Educational institutes,People striving to gain knowledge,Normal
Providing complete account of personal history,Court,Testifying in a criminal court,Expected
Not queuing properly at a cafeteria,University cafeteria,A student cutting the food line at the cafeteria,Taboo
Placing Quran on Haft-Seen spread,Home,A family placing the Quran on the Haft-Seen spread,Expected
Celebrating Mehregān on 16th Mehr,Home,Celebrating based on the Jalali calendar date of 16th Mehr,Normal
Using drugs in public places,Park,A group of youths using drugs in a park,Taboo
Respecting religious sanctities and values,Mosque,Worshippers at the mosque,Expected
Parking in prohibited areas,City street,Drivers parking on sidewalks and prohibited areas,Expected
Promoting drug use,Online,A group of young people promoting drug use online,Taboo
Raising virtuous children,Family,Parents emphasizing moral training of children,Expected
Selling and advertising illegal products like drugs online,Cyberspace,A seller advertising drugs in a Telegram group,Taboo
Respecting local culture and customs,Village,Visitors in a traditional village,Expected
Celebrating while observing environmental principles,Celebration venue,A group collecting trash and extinguishing the fire,Expected
Respecting elders,Family party,A young person in the presence of elderly relatives,Expected
Using circumvention tools to access filtered websites,Cyberspace,A student using filtering circumvention tools,Normal
Taking photos,Theater,Audience members taking photos of a theater performance,Taboo
Accepting offers after host's insistence,Dinner Party,Guest accepting after host insists,Expected
Participating in cultural activities,Theater,Families watching a theater performance,Normal
Unconventional and revealing women's clothing in public,City street,Women wearing revealing clothes on the street,Taboo
Gifting suitable presents to host,Dinner Party,Dinner party at a friend's home,Expected
Doctors receiving cash payments,Clinic,Patients making cash payments for doctor visits,Expected
Hefty dowries for brides in marriage contracts,Mourning ceremony,Specifying high dowry amounts in marriage contracts,Normal
Observing hygiene in public facilities,Public bathhouse,Using traditional public bathhouses,Taboo
Low presence of women in certain professions,Government office,Top management positions in government offices,Expected
Traditional Yalda Night celebrations in a village,Village,Villagers celebrating the traditional Yalda Night festival,Expected
Aimless wandering in city streets,City street,A group of youths aimlessly wandering and loitering in the city streets,Normal
Consuming alcohol at private parties,Home,Youths consuming alcoholic drinks at a private house party,Taboo
Women expect men to open the door for them,Workplace,A woman entering the workplace with a man nearby,Expected
Setting off fireworks on Chaharshanbe Suri,City street,A group of youth setting off fireworks,Taboo
Offering help to others,City street,A citizen helping an elderly person cross the street,Expected
Public smoking and drug use,University,For students on university premises,Taboo
Eating raw fish,Traditional ceremonies,"In some traditions, raw fish is consumed",Normal
Openly criticizing policies or national leaders online,Cyberspace,Users in cyberspace,Taboo
Public and free feasts by philanthropists,City street,Free food distribution for the needy in the city,Normal
Soran circumcision,Azerbaijan,Special ceremony for adolescent boys,Expected
Holding 40th day memorial for the deceased,Home,A mourning ceremony for a deceased person,Expected
Not respecting queues when buying tickets,Ticket queue,People not respecting queues when buying tickets,Taboo
Refraining from indecent behavior in public places,Shopping mall,People behaving properly in shopping malls,Expected
Consuming traditional fruits for Chelleh Night,Yalda Night,Family gathering for Yalda Night,Expected
Complete segregation of girls' and boys' classes,School,Separate classes for male and female students,Expected
Refraining from smoking in indoor public places,Cinema,Someone smoking in a movie theater,Expected
Giving tips,Cafe,A customer tipping after receiving service,Normal
"Making harsh, insulting comments",Workplace,Employees having a heated argument with the manager in the office,Taboo
Distributing obscene content online,Online,A user sharing obscene content online,Taboo
Avoiding water/electricity wastage,Home,A family using resources efficiently and switching off unnecessary appliances,Expected
Encouraging charitable works online,Cyberspace,A volunteer group crowdsourcing donations online,Expected
Shaking hands and embracing unrelated people,Workplace,Between male and female colleagues in the workplace,Taboo
Wearing revealing clothing at the theater,Theater,A woman wearing an inappropriate short dress while watching a theater performance,Taboo
Inappropriate dancing and singing in public places,National park,For a group of youths at a national park,Taboo
Physical punishment of employees at work,Workplace,A manager physically punishing an employee at the workplace,Taboo
Gender discrimination in hiring,Workplace,A company discriminating based on gender when hiring employees,Normal
Observing table manners,Dining table,People following etiquette while eating,Normal
Refraining from singing in public places,Cafe,Someone singing at a shared cafe,Expected
Observing sanctity and hijab,Mosque,Women wearing chadors and appropriate Islamic dress,Expected
Preserving chastity and honor,Public spaces,People avoid dishonorable and insulting behaviors,Expected
Host standing and attending to guests,Family gathering,The host is standing and serving guests,Expected
Respectful behavior towards teachers,School,Students in the presence of a teacher,Expected
Serving tea and sweets to guests,Family gathering,The host serving tea and sweets to guests,Expected
Racial and ethnic discrimination,Workplace,An employer treating minority employees differently,Taboo
Telling explicit sexual jokes,Family gathering,In the presence of family members including children,Taboo
Praying at Imam Reza's shrine,Imam Reza's shrine,Pilgrims praying and communicating with God at the shrine,Expected
Married women covering hair in presence of strangers,Shopping mall,For a married woman in a crowded mall,Normal
Creating social movements for civil liberties,University,Students creating a protest movement for freedom of expression,Normal
Interest charged by banks on loans to borrowers,Bank,Bank employees charging interest on loans,Normal
Men paying for romantic dates,Park,A young couple walking in a park,Expected
Repeated insisting guests eat more,Family party,By host encouraging guests to eat more food,Expected
Expecting respect and honor from younger people,Family gathering,Elders at a family gathering,Expected
Stomping and dancing around the sadeh fire,Celebration venue,Youths stomping and dancing,Normal
Eating lunch in public during Ramadan,Restaurant,A Muslim eating lunch publicly at a restaurant during Ramadan,Taboo
Encouraging children to help with harvesting,Saffron harvest festival,Village children helping parents harvest saffron,Normal
Fireworks,Chaharshanbe Suri,Observing the fireworks tradition on this night,Expected
Supporting entrepreneurship and job creation,Businesses,The community supports entrepreneurs and manufacturers,Normal
Avoiding disturbing others,Public transportation,Passengers refraining from making noise,Expected
Accepting appropriate dress code change,Holy Shrine,A young woman visiting Imam Reza's shrine,Expected
Drug smuggling across borders,Iran-Pakistan border,Smugglers trafficking drugs across the border,Taboo
Kindness and compassion towards children,City street,For citizens when interacting with children in public areas,Expected
Dancing and partying with loud music,Beach,A group of young people by the seaside,Taboo
Overcrowding and noise in public places,Airport,"A group of passengers creating noise and overcrowding, disturbing others",Taboo
Promoting national culture and authentic Iranian traditions,National ceremony,Participating in national ceremonies and introducing authentic Iranian culture and traditions,Expected
Protesting and demonstrating against government policies,City street,A group of protesters marching in protest on the street,Normal
Refraining from unfair judgments about others,University,Students on university campus,Normal
Segregation of women and men in public places,University,Female and male students in separate classrooms,Normal
Respecting intellectual property rights of artists,Art exhibition,Visitors observing and appreciating artworks,Expected
Hospitality,Grandmother's home,A grandmother preparing sweets for her grandchildren,Expected
Expressing condolences in times of grief,Mourning Ceremony,Attendees at mourning ceremony,Expected
Avoiding joyful/entertaining activities in Muharram,Home,A family watching a comedy film,Normal
Personal hygiene in public places,Gym,Athletes maintaining hygiene in the gym locker rooms,Expected
Maintaining appropriate distance from strangers,Traditional market,Between unacquainted men and women in a crowded market,Normal
Informal music at weddings/gatherings,Wedding ceremony,Local groups performing music in parts of the ceremony,Normal
Refraining from judging others' appearances,Park,Diversely dressed groups coexisting without judgment,Expected
Paying for services received,Shopping mall,Customer paying vendor after purchase,Normal
Buying from local vendors,Village,In a village from the local inhabitants,Normal
Preserving individual and family honor and dignity,Social environment,People avoid unethical and immodest behaviors,Expected
Reopening workplaces on holidays,"Office, factory, company",Employees going to work on Nowruz holidays,Taboo
No free internet access/website filtering,Home,A user with restricted/filtered internet access,Expected
Blood donation to save lives,Blood Donation Center,People voluntarily donating blood,Expected
Maintaining public security,Airport,Passengers complying with security rules and protocols,Expected
Avoiding looking at non-mahrams,City street,Pedestrians coming and going on the street,Normal
Respecting other faiths/beliefs,Taziyeh,Watching Taziyeh performance in city square,Expected
Reciting Hafez poetry on Yalda Night,Family gathering,Family gathering for the Yalda evening,Normal
Honoring local traditions in the village,Village,Villagers observing and honoring local customs and traditions,Normal
Silently reciting prayers in leisure time,Park,A middle-aged woman walking in the park,Normal
Respecting medical staff,Clinic,Patients visiting the clinic,Expected
Honoring teachers and professors,University,Students showing respect to the professor as they enter the classroom,Expected
Watching appropriate TV programs,Home,Families watching suitable TV shows and programs,Expected
Aggression and physical fights,Cinema,Two men fighting and brawling in the theater,Taboo
Respecting local norms and traditions,Village,Guests respecting local traditions when hosted by villagers,Expected
Attending the traditional sadeh ceremony and rituals,Celebration venue,A family participating in the sadeh ceremony,Expected
No handshaking between unrelated men and women,University,A male professor and female student,Expected
Respecting the rights of neighbors and neighborhood peace,Neighborhood street,Neighbors interacting with each other,Expected
Optimal use of public facilities,National Park,Visiting national parks and protected areas,Expected
Fireworks on Chaharshanbe Suri,Chaharshanbe Suri,Youths setting off fireworks,Normal
Respecting national symbols,National Ceremony,Officials and people attending national ceremony,Expected
Eating forbidden foods at a restaurant,Restaurant,A customer eating pork at a restaurant,Taboo
Observing Islamic modest dress,Cyberspace,A woman posting pictures on social media,Normal
Exercising and playing in the park,Park,People exercising and playing in the park,Normal
Man presenting flowers to woman,Marriage Ceremony,The marriage officiant with families of bride/groom,Expected
Preserving environment and natural resources,Desert,Traveling to desert regions,Expected
Disrespect towards the elderly,Shopping mall,A youth behaving disrespectfully towards an elderly person,Taboo
Respecting needs of elderly/disabled,Bus,Elderly or disabled passengers on bus,Expected
Observing travel and tourism etiquette,Road,Tourists traveling,Normal
Wishing happy birthday,Birthday party,Guests singing happy birthday song,Expected
Respecting holy shrines,Holy shrine,Pilgrims observing respect at the shrine,Expected
Staying awake until New Year's moment,Home,Family members staying up to witness the start of New Year,Expected
Striving and working hard in business and life,Workplace,For employees and workers in the workplace,Expected
Holding Quran competitions and religious celebrations during Ramadan,Mosque,A group participating in Quran memorization contests at the mosque during Ramadan,Expected
Occupying tables without ordering,Restaurant,A group putting personal belongings on tables without ordering food,Normal
Widespread and intrusive advertising for products,Cyberspace,Sending unsolicited promotional messages on social media,Taboo
Unauthorized entry into others' private spaces,Family,Someone entering a family's bedroom without permission,Taboo
Honoring national rituals,National ceremonies,Citizens participating in national ceremonies,Normal
Preserving national identity and culture,Society-wide,People taking pride in their cultural heritage and national identity,Normal
Allowing elder/sick people not to fast during Ramadan,Nursing home,An elderly or sick person eating during the day in Ramadan,Normal
Standing up for elders out of respect,Office Meeting,A young person entering a meeting,Expected
Preserving the environment and natural resources,Mountain,A hiking group collecting litter along the hiking trail,Normal
Littering in public spaces,City street,Pedestrians littering on the street,Taboo
Preserving ritual traditions in mourning ceremonies,Mourning ceremony,Participants observing traditional mourning rituals,Expected
Public breastfeeding,Park,By mothers in parks and public spaces,Normal
Not observing order in an art exhibition,Art exhibition,Visitors behaving disorderly at an art exhibition,Taboo
Avoiding loud conversations,Library,In the quiet space of a library,Expected
Avoiding littering in public places,Park,A group picnicking in the park,Expected
Women working in agriculture,Farm,Women working on a farm,Normal
Uttering profanities in public places,City street,By ordinary people on city streets,Taboo
Offering votive charity/alms to the needy,Rowzeh Khani,Attending religious gatherings/venerating saints,Expected
Disregarding the environment and air pollution,City,Excessive use of private vehicles and air pollution in the city,Expected
Cosmetic facial/body surgeries for women,Beauty Clinic,Women undergoing cosmetic surgeries at clinic,Expected
Copyright and intellectual property online,Cyberspace,A user posting copied content without attributing sources,Normal
Observing traditional rituals and customs,Wedding ceremony,Hosts and guests following specific wedding traditions,Expected
Charity and benevolence,Charity centers,People donating cash and in-kind aid,Expected
No handshaking with opposite gender,Workplace,Men and women avoiding handshakes with opposite gender,Expected
Observing rules/regulations of every place,Museum,Visitors touring a museum,Expected
Dropping out of school for early marriage,Village,A teenage girl dropping out of school for marriage,Normal
Bullying students at school,School,A student bullying and harassing other students at school,Taboo
Suhoor (pre-dawn meal) gatherings,Suhoor gathering,Muslims attending the suhoor supplication gathering,Normal
Valuing education,Schools/Educational institutes,Families value their children's education,Expected
Having an energizing suhoor meal,Suhoor gathering,Celebration of the suhoor and midnight gathering,Expected
Improper appearance and makeup during Ramadan,Mosque,A woman with immodest clothes and heavy makeup at the mosque during Ramadan,Taboo
Visiting parks on holidays,Park,A family going to the park on a holiday,Normal
Observing modesty and hijab in public spaces,University,Students on university campus,Expected
Maintaining very close physical proximity when talking to strangers,City street,People keeping very little distance when conversing with strangers,Normal
Advertising illegal products in cyberspace,Cyberspace,A group selling drugs on a Telegram channel,Taboo
Avoiding offensive behavior at religious sites,Mosque,Worshippers performing congregational prayers,Expected
Zartosht celebration,Zoroastrian fire temples,Zoroastrian religious ritual on Zartosht day,Expected
Maintaining silence in public places,Subway,People traveling by subway,Normal
Humility and modesty,Social environment,"People are humble and modest, avoiding arrogance",Normal
Complete hijab for women,Holy shrine,A woman wearing a chador while visiting the shrine,Expected
Importance of tea drinking and hospitality,Traditional cafe,Patrons enjoying tea at a traditional cafe,Expected
Eating and drinking publicly during Ramadan,City street,For Muslims during the day in Ramadan,Taboo
Introducing fiancé to family before marriage,Family gathering,A youth introducing their fiancé to family at a gathering,Normal
Respecting intellectual property rights of artists,Music concert,Audience watching a live music performance,Expected
Observing Nowruz customs in cyberspace,Nowruz,A group holding online Nowruz celebrations,Expected
Avoiding joyous ceremonies and weddings,Family gathering,A family holding their child's wedding ceremony,Normal
Night gathering,Yalda Night,Family members gathered together on Yalda Night,Expected
Traditional music at the Rosewater Festival,Village,Santur and ney musicians playing local tunes,Expected
Smoking indoors in public places,Restaurant,An individual smoking inside the restaurant dining area,Taboo
Burning flags of other countries in protests,City street,Protesters burning the flag of another country,Normal
Wearing casual attire,Family gathering,A guest in casual dress at the gathering,Normal
Burying a piece of cloth under a tree,Traditional ritual," In some rituals, a cloth is buried under a tree",Normal
Avoiding minor sins like lying during Ramadan,School,A student telling the truth to a teacher at school during Ramadan,Expected
Offering food to guests,Party,Host offering food to guests,Expected
Providing special facilities for the elderly,Government office,Elderly citizens carrying out official tasks,Expected
Adhering to cultural/religious protocols,Wedding Ceremony,Guests observing traditional ceremonies/rituals,Expected
Respecting the elderly,Nursing home,Nurses treating the elderly respectfully,Expected
Providing false and misleading information in cyberspace,Cyberspace,A user spreading rumors and fake news on social media,Taboo
Following traditional rituals at religious ceremonies,Rowzeh Khani,A reader performing the Rowzeh Khani ceremony,Expected
Observing Islamic values at government offices,Government office,Employees upholding Islamic values in the workplace,Expected
Traditional marriage proposal ceremony,Home,A family holding a traditional marriage proposal ceremony at home,Normal
Avoiding rude and insolent behaviors,Government office,For citizens when interacting with government employees,Expected
Avoiding lewd behavior in public,City street,For men and women on crowded city streets,Normal
Avoiding heavy work for women,Workplace,Employer hiring staff,Expected
Illegal gatherings and marches,City street,On city streets without legal permit,Taboo
Keeping pets in the apartment,Apartment,A family keeping pets in their apartment unit,Normal
Consuming halal food,Restaurant,Customers ordering halal food at the restaurant,Expected
Wailing and mourning for the deceased,Condolence Gathering,Relatives mourning at condolence ceremony,Expected
Giving cash gifts at weddings,Wedding ceremony,Giving cash as gifts to the bride and groom,Expected
Eating bread made from mixed grains,Family gathering,Eating special bread made from 7 grains,Expected
Discriminatory treatment of ethnic minorities,Government office,Government employees discriminating against different ethnic groups,Taboo
Observing boundaries in non-mahram relations,Cinema,For young couples in movie theaters,Normal
Division of property between spouses after divorce,Court,A couple dividing assets after divorce in court,Normal
Women carrying identification documents,Government office,For women visiting government offices,Expected
Expressing gratitude and appreciation to others,Workplace,For employees and managers in the workplace,Expected
Appreciating/thanking service personnel,Restaurant,Dining at a traditional restaurant,Expected
Observing etiquette during social visits,Social visits,Host and guest during a social visit,Expected
Swearing and verbal abuse in public places,Bus,A passenger verbally abusing other passengers on the bus,Taboo
Observing etiquette of serving and hosting guests,Family gathering,The host respectfully hosts guests by upholding Iranian traditions,Normal
Listening to local and traditional music,Village,Villagers listening to local music,Normal
Illegal protest gatherings,City street,Groups of people illegally protesting and gathering on streets,Normal
Maintaining health and avoiding substance abuse,Gym,Athletes training and avoiding performance-enhancing drugs,Expected
Not accepting food orders during Ramadan,Restaurant,Customers ordering food on a day during Ramadan,Expected
Showing courtesy towards the host,Family gathering,A guest thanking the host and praising the food,Expected
Distributing votive food offerings,Mosque,Citizens freely distributing votive food offerings at the mosque,Normal
Avoiding pork in restaurants,Restaurant,Customers ordering dishes without pork at a restaurant,Expected
Observing silence in workplace prayer room,Workplace prayer room,Employees observing silence and etiquette in their workplace prayer room,Expected
Exorbitant salaries for government officials,Government building,A minister receiving an extremely high salary,Normal
Avoiding smoking in public places,Airport,Passengers in the airport waiting lounge,Expected
Aggressive and violent behavior in public,Shopping mall,By people in a crowded shopping mall,Taboo
Honoring religious values,Rowzeh recitals,Participants at a religious ceremony,Expected
Shouting and yelling in public places,Hospital,A person yelling in a hospital hallway,Taboo
Inappropriate attire and revealing clothing,Mosque,By women entering the mosque,Taboo
Honesty and truthfulness in words and deeds,Government office,For citizens interacting with government offices,Expected
Head covering for women,Bank,Female bank employee,Expected
Avoiding aggressive and insulting behavior,Inauguration ceremony,Attending a formal and national ceremony,Expected
Setting aside daily work on Eid,Anywhere,Someone leaving their work to take a holiday on Eid,Expected
Excessive use of water and electricity,Farm,Farmers excessively using water and electricity for irrigation,Taboo
Using vulgar language in public places,Shopping mall,A group of teenagers shouting and using vulgar language,Taboo
Eating food on public transportation,Subway,A person eating a sandwich on the subway,Normal
Listening to loud music,Bazaar,A vendor playing music in their shop,Normal
Excessive use of makeup,Workplace,Women excessively using makeup at work,Expected
Smoking around family,Family,Family members smoking during a gathering at home,Taboo
